anio,mes,dpto,prov,dist,cultivo,sup_cosechada,produccion_t,rendimiento_kgha,precio_chacra,altitud,temp_max,temp_min,temp_media,amplitud_termica,riesgo_helada,humedad,precipitacion
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,COL,1.0,16.0,16000.0,0.97,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,COL_CHINA,0.8,13.0,16250.0,1.1,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,HABA_GRANO_VERDE,13.0,55.0,4230.8,0.97,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,LECHUGA,0.8,12.6,15750.0,1.2,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,MAIZ_CHOCLO,18.0,190.0,10555.6,1.3,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,OCA,19.0,133.0,7000.0,0.9,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,OLLUCO,22.0,154.0,7000.0,0.9,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,PAPA,440.0,9680.0,22000.0,0.52,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,RABANO,1.0,13.5,13500.0,0.9,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANCHEZ_CARRION,HUAMACHUCO,ZANAHORIA,55.0,990.0,18000.0,0.7,3186,18.2,7.8,13.0,10.4,0,78.0,91.8
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,AJO,1.0,5.0,5000.0,6.5,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,OCA,6.0,30.0,5000.0,0.87,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,OLLUCO,6.0,32.6,5433.3,0.92,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,PAPA,22.0,473.0,21500.0,0.92,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,ZANAHORIA,1.0,13.65,13650.0,0.68,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LA_LIBERTAD,SANTIAGO_DE_CHUCO,CACHICADAN,ZAPALLO,1.0,13.0,13000.0,0.65,2892,20.7,7.9,14.3,12.8,0,81.1,96.5
2017,5,LAMBAYEQUE,CHICLAYO,ETEN,CAMOTE,10.0,91.0,9100.0,0.89,13,27.1,15.2,21.2,11.9,0,76.9,0.0
2017,5,LAMBAYEQUE,CHICLAYO,ETEN,CULANTRO,1.0,5.0,5000.0,2.4,13,27.1,15.2,21.2,11.9,0,76.9,0.0
2017,5,LAMBAYEQUE,CHICLAYO,ETEN,MAIZ_CHALA,6.0,224.0,37333.3,0.23,13,27.1,15.2,21.2,11.9,0,76.9,0.0
2017,5,LAMBAYEQUE,CHICLAYO,ETEN,MAIZ_CHOCLO,8.0,79.0,9875.0,2.15,13,27.1,15.2,21.2,11.9,0,76.9,0.0
2017,5,LAMBAYEQUE,CHICLAYO,SANA,CAMOTE,2.0,30.0,15000.0,0.58,87,30.5,20.1,25.3,10.4,0,76.3,0.7
2017,5,LAMBAYEQUE,CHICLAYO,SANA,MAIZ_CHALA,4.0,120.0,30000.0,0.22,87,30.5,20.1,25.3,10.4,0,76.3,0.7
2017,5,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,PALTA,328.0,2543.0,7753.0,2.6,78,29.5,18.8,24.2,10.7,0,79.9,18.0
2017,5,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,TARA,94.0,59.0,627.7,2.75,78,29.5,18.8,24.2,10.7,0,79.9,18.0
2017,5,PIURA,AYABACA,AYABACA,NARANJA,20.0,16.0,800.0,1.5,2648,17.9,11.2,14.6,6.7,0,83.9,225.9
2017,5,PIURA,AYABACA,AYABACA,OCA,8.0,18.0,2250.0,1.8,2648,17.9,11.2,14.6,6.7,0,83.9,225.9
2017,5,PIURA,AYABACA,AYABACA,OLLUCO,9.0,27.0,3000.0,2.0,2648,17.9,11.2,14.6,6.7,0,83.9,225.9
2017,5,PIURA,AYABACA,AYABACA,PAPA,5.0,75.0,15000.0,0.8,2648,17.9,11.2,14.6,6.7,0,83.9,225.9
2017,5,PIURA,AYABACA,AYABACA,ZAPALLO,10.0,25.0,2500.0,0.5,2648,17.9,11.2,14.6,6.7,0,83.9,225.9
2017,5,PIURA,AYABACA,FRIAS,PALTA,10.0,6.0,600.0,5.0,3080,15.9,7.7,11.8,8.2,0,86.0,148.8
2017,5,PIURA,PAITA,COLAN,"FRIJOL_CAUPI_CHICLAYO,CASTILLA,CHILENO_GS",15.0,30.0,2000.0,3.0,7,30.3,21.6,26.0,8.7,0,73.8,3.6
2017,5,PIURA,PAITA,COLAN,TOMATE,3.0,60.0,20000.0,0.6,7,30.3,21.6,26.0,8.7,0,73.8,3.6
2017,5,SAN_MARTIN,MOYOBAMBA,JEPELACIO,ARROZ,100.0,800.0,8000.0,1.05,1057,27.3,16.8,22.0,10.5,0,87.8,158.2
2017,5,SAN_MARTIN,MOYOBAMBA,JEPELACIO,YUCA,6.0,90.0,15000.0,0.7,1057,27.3,16.8,22.0,10.5,0,87.8,158.2
2017,5,SAN_MARTIN,MOYOBAMBA,SORITOR,ARROZ,355.0,2999.0,8447.9,1.05,852,28.6,18.9,23.8,9.7,0,83.7,172.2
2017,5,SAN_MARTIN,MOYOBAMBA,SORITOR,YUCA,12.0,180.0,15000.0,0.7,852,28.6,18.9,23.8,9.7,0,83.7,172.2
2017,5,SAN_MARTIN,MOYOBAMBA,SORITOR,ZAPOTE,5.0,5.0,1000.0,0.8,852,28.6,18.9,23.8,9.7,0,83.7,172.2
2017,5,SAN_MARTIN,EL_DORADO,SAN_MARTIN,FRIJOL_GRANO_SECO,2.0,2.0,1000.0,5.0,420,32.4,21.5,27.0,10.9,0,85.4,172.2
2017,5,SAN_MARTIN,EL_DORADO,SAN_MARTIN,YUCA,5.0,60.0,12000.0,0.4,420,32.4,21.5,27.0,10.9,0,85.4,172.2
2017,5,SAN_MARTIN,HUALLAGA,SAPOSOA,ARROZ,38.0,266.0,7000.0,1.08,307,31.7,22.0,26.8,9.7,0,76.4,152.6
2017,5,SAN_MARTIN,HUALLAGA,SAPOSOA,FRIJOL_GRANO_SECO,30.0,30.0,1000.0,6.0,307,31.7,22.0,26.8,9.7,0,76.4,152.6
2017,5,SAN_MARTIN,HUALLAGA,SAPOSOA,YUCA,20.0,260.0,13000.0,0.4,307,31.7,22.0,26.8,9.7,0,76.4,152.6
2017,5,SAN_MARTIN,LAMAS,LAMAS,FRIJOL_GRANO_SECO,10.0,10.0,1000.0,4.5,840,27.6,20.4,24.0,7.2,0,89.4,162.9
2017,5,SAN_MARTIN,LAMAS,LAMAS,MAIZ_AMARILLO_DURO,22.0,44.0,2000.0,1.2,840,27.6,20.4,24.0,7.2,0,89.4,162.9
2017,5,SAN_MARTIN,LAMAS,LAMAS,YUCA,30.0,420.0,14000.0,1.0,840,27.6,20.4,24.0,7.2,0,89.4,162.9
2017,5,SAN_MARTIN,LAMAS,CAYNARACHI,YUCA,9.0,180.0,20000.0,0.5,187,31.8,22.7,27.2,9.1,0,86.4,443.0
2017,5,SAN_MARTIN,LAMAS,TABALOSOS,YUCA,10.0,140.0,14000.0,1.0,913,30.9,20.0,25.4,10.9,0,83.9,187.3
2017,5,SAN_MARTIN,PICOTA,PILLUANA,"FRIJOL_CAUPI_CHICLAYO,CASTILLA,CHILENO_GS",5.0,5.0,1000.0,2.4,208,34.3,20.8,27.6,13.5,0,78.3,103.6
2017,5,SAN_MARTIN,PICOTA,PILLUANA,MAIZ_AMARILLO_DURO,40.0,96.0,2400.0,0.8,208,34.3,20.8,27.6,13.5,0,78.3,103.6
2017,5,SAN_MARTIN,PICOTA,PILLUANA,YUCA,4.0,80.0,20000.0,0.5,208,34.3,20.8,27.6,13.5,0,78.3,103.6
2017,5,SAN_MARTIN,SAN_MARTIN,CHAZUTA,FRIJOL_GRANO_SECO,5.0,5.0,1000.0,2.5,203,32.9,22.7,27.8,10.2,0,86.2,129.4
2017,5,SAN_MARTIN,SAN_MARTIN,CHAZUTA,MAIZ_AMARILLO_DURO,5.0,10.0,2000.0,1.0,203,32.9,22.7,27.8,10.2,0,86.2,129.4
2017,5,SAN_MARTIN,SAN_MARTIN,CHAZUTA,YUCA,20.0,400.0,20000.0,0.7,203,32.9,22.7,27.8,10.2,0,86.2,129.4
2017,5,SAN_MARTIN,SAN_MARTIN,JUAN_GUERRA,ARROZ,70.0,455.0,6500.0,1.2,225,33.0,20.7,26.8,12.3,0,73.6,79.2
2017,5,SAN_MARTIN,SAN_MARTIN,JUAN_GUERRA,MAIZ_AMARILLO_DURO,10.0,25.0,2500.0,1.0,225,33.0,20.7,26.8,12.3,0,73.6,79.2
2017,5,SAN_MARTIN,SAN_MARTIN,JUAN_GUERRA,TABACO,15.0,300.0,20000.0,1.0,225,33.0,20.7,26.8,12.3,0,73.6,79.2
2017,5,SAN_MARTIN,SAN_MARTIN,JUAN_GUERRA,YUCA,2.0,40.0,20000.0,0.5,225,33.0,20.7,26.8,12.3,0,73.6,79.2
2017,6,ICA,ICA,LA_TINGUINA,MAIZ_AMARILLO_DURO,40.0,402.0,10050.0,1.1,429,26.3,12.4,19.4,13.9,0,85.5,0.0
2017,6,ICA,ICA,OCUCAJE,MAIZ_CHOCLO,30.0,96.0,3200.0,1.5,311,26.1,9.9,18.0,16.2,0,77.0,0.0
2017,6,ICA,ICA,OCUCAJE,PALLAR_GRANO_VERDE,7.0,31.5,4500.0,2.5,311,26.1,9.9,18.0,16.2,0,77.0,0.0
2017,6,ICA,ICA,OCUCAJE,PECANA,10.0,9.2,920.0,16.0,311,26.1,9.9,18.0,16.2,0,77.0,0.0
2017,6,ICA,ICA,OCUCAJE,ZAPALLO,5.0,151.0,30200.0,0.4,311,26.1,9.9,18.0,16.2,0,77.0,0.0
2017,6,ICA,ICA,PARCONA,CHIRIMOYA,0.25,0.15,600.0,2.0,407,26.1,12.9,19.5,13.2,0,74.2,0.0
2017,6,ICA,ICA,PARCONA,MAIZ_AMARILLO_DURO,10.0,95.0,9500.0,1.0,407,26.1,12.9,19.5,13.2,0,74.2,0.0
2017,6,ICA,CHINCHA,CHINCHA_ALTA,GRANADA,4.0,17.0,4250.0,2.5,97,22.7,17.3,20.0,5.4,0,78.2,0.0
2017,6,ICA,CHINCHA,CHINCHA_ALTA,MAIZ_AMARILLO_DURO,23.0,213.0,9260.9,0.92,97,22.7,17.3,20.0,5.4,0,78.2,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,ARVEJA_GRANO_VERDE,4.0,20.5,5125.0,2.3,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,CEBADA_GRANO,5.0,9.6,1920.0,1.5,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,HABA_GRANO_VERDE,4.0,19.7,4925.0,2.3,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,MAIZ_AMARILLO_DURO,18.0,155.0,8611.1,0.8,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,MAIZ_AMILACEO,1.0,2.7,2700.0,1.8,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,PALTA,10.0,30.0,3000.0,3.0,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
2017,6,ICA,CHINCHA,SAN_JUAN_DE_YANAC,TRIGO,18.0,32.5,1805.6,1.9,2550,21.8,12.5,17.2,9.3,0,74.8,0.0
